,n,w,malicious,uniform,ratio
0,1 << 18,64,0.00013820803724229336,8.665956556797028e-06,15.948387963460505
1,1 << 19,64,0.0002444579731673002,7.917173206806183e-06,30.876926243971297
2,1 << 20,64,0.0001721670851111412,9.58307646214962e-06,17.96574260793508
3,1 << 21,64,0.00015620794147253036,1.3874843716621399e-05,11.258356826419654
4,1 << 22,64,0.0001788749359548092,1.9584083929657936e-05,9.133689203809162
5,1 << 23,64,0.00018520792946219444,1.7249956727027893e-05,10.73671849692258
6,1 << 24,64,0.00017945794388651848,4.7541921958327293e-05,3.7747305219133067
